TV,Radio,Social Media,Influencer
96.0,33.73717368,8.701501372,Micro
22.0,2.685571253,2.783753323,Macro
34.0,19.68456771,5.02955855,Macro
33.0,13.19329779,0.782495368,Micro
78.0,21.96746823,2.471420712,Micro
15.0,3.773286785,0.135074302,Nano
30.0,14.83026662,1.166411428,Macro
91.0,33.66042024,7.639596242,Mega
99.0,37.46822321,7.194404457,Macro
23.0,4.510090793,0.033647813,Mega
14.0,14.95556574,0.924449961,Nano
18.0,1.864835189,1.06921254,Macro
67.0,33.47845174,6.272878542,Macro
13.0,1.178416233,6.490106168,Mega
87.0,36.18933987,4.810689752,Micro
98.0,27.33731038,2.839123372,Mega
59.0,19.63437742,3.460642502,Mega
43.0,26.15918496,5.231818374,Mega
77.0,34.01181552,4.378510541,Nano
39.0,17.29712291,2.14164632,Nano
80.0,28.50516115,5.403039713,Mega
66.0,17.00947877,6.048201516,Macro
25.0,1.247191596,1.757639591,Mega
10.0,6.145248262,1.591116473,Macro
65.0,16.00937858,1.309538333,Micro
46.0,15.49217812,1.251590075,Macro
26.0,19.83762759,0.857272544,Mega
21.0,10.86014433,1.318393616,Mega
49.0,18.91431788,0.747304256,Macro
69.0,22.38809556,4.68004768,Macro
32.0,10.36859883,2.023882836,Mega
71.0,27.63860309,6.434458431,Macro
85.0,31.35910881,3.82809637,Mega
16.0,1.095054697,1.784711655,Mega
79.0,24.06313015,2.173279578,Nano
92.0,32.31705024,4.646319634,Nano
60.0,23.52912897,2.915714279,Nano
91.0,36.1004354,4.332061718,Micro
83.0,32.19193052,4.530124006,Macro
98.0,26.8474977,0.555850618,Macro
36.0,9.430653096,1.800419039,Mega
21.0,7.138058437,2.684297188,Nano
20.0,1.969917453,0.236860685,Nano
30.0,6.122317863,2.606806497,Mega
35.0,15.07233814,0.928096772,Macro
54.0,13.68614516,0.864997463,Nano
74.0,16.77799061,2.297885997,Macro
42.0,6.69975335,2.161864768,Mega
99.0,31.39714703,4.282725886,Macro
27.0,7.772636971,0.026536086,Micro
21.0,7.578230065,1.031606867,Nano
13.0,1.785753879,1.150818911,Macro
45.0,10.84335506,1.303214039,Micro
81.0,22.41030226,2.189639013,Nano
70.0,19.74894387,5.599312885,Nano
98.0,33.92428664,7.869647949,Nano
59.0,24.11862064,4.750725408,Micro
71.0,23.35785141,4.385036868,Macro
47.0,4.139878602,1.573396939,Macro
97.0,25.47353261,1.533320645,Nano
39.0,14.01695152,3.105424638,Nano
82.0,32.44415878,5.42544944,Nano
16.0,16.92417111,6.447476349,Nano
81.0,32.15203051,8.363874342,Macro
96.0,38.34982728,5.625677284,Nano
13.0,0.095046942,0.111191033,Nano
48.0,21.5039439,4.735400459,Mega
30.0,8.421994731,3.279480595,Macro
60.0,17.74524356,5.489125047,Mega
86.0,22.51839983,0.449688118,Macro
16.0,7.327697332,3.236219566,Macro
44.0,15.99054487,2.975989378,Mega
35.0,7.881705224,1.73269323,Micro
60.0,11.36731934,0.820350637,Micro
36.0,13.80111588,1.731192518,Nano
90.0,30.45987894,6.350355454,Mega
79.0,23.62769699,4.313288112,Micro
66.0,22.33069931,4.741691262,Macro
43.0,17.61064561,1.7945904,Nano
20.0,8.529031827,4.146156202,Macro
72.0,24.18358539,4.736877628,Mega
12.0,12.10063922,2.98563609,Macro
42.0,25.04344301,7.954162784,Macro
68.0,21.28876131,3.213254208,Nano
62.0,22.21647118,3.545499499,Macro
69.0,21.07949092,3.125858631,Micro
94.0,29.84551294,2.783840955,Mega
13.0,7.430197108,1.294086175,Micro
75.0,19.53226006,3.961231768,Micro
60.0,15.6542643,1.535037337,Micro
38.0,8.937947856,0.801876265,Micro
47.0,16.93952644,2.858758675,Nano
16.0,2.081858668,2.995109293,Micro
60.0,19.62187156,2.391937312,Nano
89.0,40.0286937,8.219310183,Micro
52.0,23.79065914,0.464672096,Micro
54.0,13.81708859,2.491412135,Mega
12.0,2.914654396,2.95186781,Macro
46.0,15.57567824,3.61510014,Nano
12.0,14.72147021,0.316274429,Macro
79.0,18.80024331,3.090105563,Macro
69.0,28.0169731,6.183202335,Micro
11.0,5.584323781,0.170465605,Mega
15.0,3.013590798,4.312852977,Micro
77.0,25.66988236,2.14056622,Micro
35.0,3.231076691,0.850271175,Nano
66.0,23.34851007,1.951877827,Nano
93.0,19.95638677,2.261406312,Mega
64.0,20.24042393,3.921147972,Micro
93.0,24.64119515,4.856110743,Mega
94.0,33.99373618,5.491583816,Nano
99.0,25.0654369,5.419793658,Micro
70.0,25.92397364,4.101003394,Macro
94.0,30.49815694,8.823311925,Macro
79.0,26.65916629,5.058853639,Mega
48.0,20.80062547,5.617721908,Mega
10.0,5.139773121,4.751055878,Nano
32.0,8.307830874,3.835013023,Micro
40.0,12.7084063,5.838251913,Nano
93.0,32.49798817,8.698498353,Macro
51.0,14.11560036,0.905750074,Micro
18.0,8.202802332,0.104486847,Mega
73.0,20.36512667,4.010355503,Nano
96.0,32.98619486,5.525464692,Mega
83.0,24.14078851,5.204844004,Micro
87.0,19.91736078,3.127906282,Macro
71.0,26.98713859,0.842799647,Mega
45.0,12.22453623,6.078835059,Nano
42.0,9.381876981,3.464095033,Mega
45.0,17.45057273,3.797949477,Micro
29.0,12.6626864,1.67420182,Micro
78.0,23.93088014,3.943732847,Mega
49.0,18.60629352,5.167471593,Nano
24.0,5.095979276,2.833283442,Nano
30.0,13.94263904,2.597301175,Macro
58.0,14.52240349,2.871804552,Mega
61.0,23.9098499,5.37298311,Macro
90.0,40.24815246,2.29177786,Macro
92.0,33.15174003,6.429606019,Macro
78.0,26.04688499,2.488182726,Mega
32.0,13.45746031,0.91765612,Mega
80.0,25.70476151,2.284896577,Mega
13.0,1.68598522,1.511993819,Nano
65.0,28.94536709,3.995953974,Mega
52.0,14.71875781,5.067918073,Micro
63.0,18.66286971,2.145018859,Nano
60.0,16.60417853,5.253646762,Nano
74.0,21.97087596,8.203744409,Macro
63.0,26.40015451,1.373655412,Nano
58.0,13.86884055,0.415369459,Mega
94.0,29.8950106,6.500131863,Macro
13.0,9.975807172,4.087393544,Micro
65.0,29.06907952,3.380965049,Mega
97.0,38.91395638,9.088162781,Nano
10.0,3.455868379,2.400118071,Micro
69.0,27.08276724,3.996892883,Mega
29.0,22.05660505,4.372790192,Nano
15.0,5.13906928,1.55848132,Micro
92.0,29.34050811,4.968613722,Mega
78.0,30.95151095,6.412862561,Nano
42.0,15.64684698,1.920959216,Nano
33.0,11.35073417,0.964355355,Micro
96.0,33.98063924,6.003671155,Macro
